id,healing_event_id,step_name,ui_version,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,cand_tag,cand_testid,cand_text,is_correct,recorded_at
1,1,email_field,v2,0.7467,1.0,0.8479,0.7524,0.365,0.7829,input,,,1,2026-05-30 10:11:27
2,1,email_field,v2,0.3633,1.0,0.7832,0.6526,0.365,0.6495,input,,,0,2026-05-30 10:11:27
3,2,password_field,v2,0.93,1.0,0.88,0.7396,0.365,0.8366,input,,,1,2026-05-30 10:11:27
4,2,password_field,v2,0.5467,0.95,0.8086,0.7356,0.365,0.7062,input,,,0,2026-05-30 10:11:27
5,3,login_button,v2,0.93,0.6359,1.0,0.7298,0.365,0.7716,button,,Xác nhận & Đăng nhập,1,2026-05-30 10:11:27
6,4,search_input,v2,0.55,1.0,0.7286,0.7545,0.615,0.7363,input,,,1,2026-05-30 10:11:31
7,5,filter_iphone_button,v2,0.93,0.8733,0.88,0.7441,0.365,0.807,button,,Apple iPhone,1,2026-05-30 10:12:02
8,5,filter_iphone_button,v2,0.93,0.715,0.8626,0.7086,0.365,0.7595,button,,Apple iPad,0,2026-05-30 10:12:02
9,5,filter_iphone_button,v2,0.93,0.7954,0.8376,0.575,0.365,0.7511,button,,AirPods,0,2026-05-30 10:12:02
10,5,filter_iphone_button,v2,0.842,0.6562,0.8626,0.6681,0.615,0.7447,button,,Tất cả danh mục,0,2026-05-30 10:12:02
11,5,filter_iphone_button,v2,0.93,0.6785,0.8501,0.642,0.365,0.7369,button,,MacBook,0,2026-05-30 10:12:02
12,5,filter_iphone_button,v2,0.7729,0.6861,0.679,0.5411,0.615,0.6749,button,,Gỡ khỏi danh sách,0,2026-05-30 10:12:02
13,6,filter_ipad_button,v2,0.93,0.8371,0.88,0.7454,0.365,0.7985,button,,Apple iPad,1,2026-05-30 10:12:36
14,6,filter_ipad_button,v2,0.93,0.8273,0.8501,0.639,0.365,0.7721,button,,AirPods,0,2026-05-30 10:12:36
15,6,filter_ipad_button,v2,0.93,0.715,0.8626,0.6947,0.365,0.7571,button,,Apple iPhone,0,2026-05-30 10:12:36
16,6,filter_ipad_button,v2,0.93,0.6891,0.8626,0.7008,0.365,0.7519,button,,MacBook,0,2026-05-30 10:12:36
17,6,filter_ipad_button,v2,0.842,0.66,0.8501,0.6012,0.615,0.7318,button,,Tất cả danh mục,0,2026-05-30 10:12:36
18,6,filter_ipad_button,v2,0.7729,0.6924,0.6665,0.538,0.615,0.6734,button,,Gỡ khỏi danh sách,0,2026-05-30 10:12:36
19,7,filter_macbook_button,v2,0.93,1.0,0.88,0.7414,0.365,0.8369,button,,MacBook,1,2026-05-30 10:13:11
20,7,filter_macbook_button,v2,0.93,0.7286,0.8626,0.6873,0.365,0.7591,button,,AirPods,0,2026-05-30 10:13:11
21,7,filter_macbook_button,v2,0.93,0.6647,0.8626,0.7273,0.365,0.7506,button,,Apple iPad,0,2026-05-30 10:13:11
22,7,filter_macbook_button,v2,0.93,0.7,0.8501,0.6514,0.365,0.7437,button,,Apple iPhone,0,2026-05-30 10:13:11
23,7,filter_macbook_button,v2,0.842,0.6891,0.8376,0.5549,0.615,0.7284,button,,Tất cả danh mục,0,2026-05-30 10:13:11
24,7,filter_macbook_button,v2,0.7729,0.6833,0.654,0.5439,0.615,0.6697,button,,Gỡ khỏi danh sách,0,2026-05-30 10:13:11
25,8,filter_airpods_button,v2,0.93,1.0,0.88,0.7459,0.365,0.8377,button,,AirPods,1,2026-05-30 10:13:44
26,8,filter_airpods_button,v2,0.93,0.7988,0.8501,0.658,0.365,0.7685,button,,Apple iPad,0,2026-05-30 10:13:44
27,8,filter_airpods_button,v2,0.93,0.7286,0.8626,0.723,0.365,0.7652,button,,MacBook,0,2026-05-30 10:13:44
28,8,filter_airpods_button,v2,0.93,0.78,0.8376,0.5736,0.365,0.7471,button,,Apple iPhone,0,2026-05-30 10:13:44
29,8,filter_airpods_button,v2,0.842,0.6545,0.8251,0.5376,0.615,0.7146,button,,Tất cả danh mục,0,2026-05-30 10:13:44
30,8,filter_airpods_button,v2,0.7729,0.6833,0.6415,0.5425,0.615,0.667,button,,Gỡ khỏi danh sách,0,2026-05-30 10:13:44
31,9,filter_Tất cả_button,v2,0.93,0.8371,0.88,0.7229,0.615,0.8247,button,,Tất cả danh mục,1,2026-05-30 10:14:17
32,9,filter_Tất cả_button,v2,0.842,0.6622,0.8626,0.7222,0.365,0.7254,button,,Apple iPhone,0,2026-05-30 10:14:17
33,9,filter_Tất cả_button,v2,0.842,0.6675,0.8501,0.6489,0.365,0.7117,button,,Apple iPad,0,2026-05-30 10:14:17
34,9,filter_Tất cả_button,v2,0.842,0.6785,0.8376,0.5788,0.365,0.6999,button,,MacBook,0,2026-05-30 10:14:17
35,9,filter_Tất cả_button,v2,0.7729,0.6861,0.6952,0.5404,0.615,0.6781,button,,Gỡ khỏi danh sách,0,2026-05-30 10:14:17
36,9,filter_Tất cả_button,v2,0.7729,0.6861,0.6938,0.5404,0.615,0.6778,button,,Gỡ khỏi danh sách,0,2026-05-30 10:14:17
37,10,email_field,v3,0.9916,1.0,0.815,0.7556,0.615,0.873,input,v3-login-email,,1,2026-05-30 10:14:33
38,10,email_field,v3,0.3983,1.0,0.7182,0.6586,0.615,0.6769,input,v3-login-password,,0,2026-05-30 10:14:33
39,11,password_field,v3,0.9932,1.0,0.815,0.7454,0.615,0.8717,input,v3-login-password,,1,2026-05-30 10:14:34
40,11,password_field,v3,0.3983,0.95,0.7182,0.7321,0.615,0.6774,input,v3-login-email,,0,2026-05-30 10:14:34
41,12,login_button,v3,0.99,1.0,0.62,0.7343,0.615,0.8299,button,v3-btn-login,Đăng nhập,1,2026-05-30 10:14:34
42,13,search_input,v3,0.6723,1.0,0.6986,0.7545,0.615,0.7633,input,v3-prod-search,,1,2026-05-30 10:14:37
43,14,filter_iphone_button,v3,0.9816,1.0,0.7249,0.7471,0.615,0.8508,button,v3-prod-filter-iphone,IPHONE,1,2026-05-30 10:15:10
44,14,filter_iphone_button,v3,0.9689,0.772,0.7292,0.7255,0.615,0.7899,button,v3-prod-filter-ipad,IPAD,0,2026-05-30 10:15:10
45,14,filter_iphone_button,v3,0.9695,0.7954,0.7249,0.6148,0.615,0.776,button,v3-prod-filter-airpods,AIRPODS,0,2026-05-30 10:15:10
46,14,filter_iphone_button,v3,0.9623,0.6785,0.7249,0.6846,0.615,0.7578,button,v3-prod-filter-macbook,MACBOOK,0,2026-05-30 10:15:10
47,14,filter_iphone_button,v3,0.874,0.62,0.7249,0.7044,0.615,0.7233,button,v3-prod-filter-all,TẤT CẢ,0,2026-05-30 10:15:10
48,14,filter_iphone_button,v3,0.7879,0.7044,0.6703,0.5404,0.615,0.6815,button,v3-prod-delete-6a0d531fd7e08f5e9abf6174,Xóa sản phẩm,0,2026-05-30 10:15:10
49,15,filter_ipad_button,v3,0.9794,1.0,0.7167,0.7457,0.615,0.8483,button,v3-prod-filter-ipad,IPAD,1,2026-05-30 10:15:44
