id,healing_event_id,step_name,ui_version,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,cand_tag,cand_testid,cand_text,is_correct,recorded_at
1,1,email_field,v2,0.7467,1.0,0.8479,0.7524,0.764,0.8586,input,,,1,2026-05-26 11:20:07
2,1,email_field,v2,0.3633,1.0,0.7832,0.6526,0.764,0.691,input,,,0,2026-05-26 11:20:07
3,2,password_field,v2,0.93,1.0,0.88,0.7396,0.764,0.9391,input,,,1,2026-05-26 11:20:07
4,2,password_field,v2,0.5467,0.95,0.8086,0.7356,0.764,0.7531,input,,,0,2026-05-26 11:20:07
5,3,login_button,v2,0.93,0.6359,1.0,0.7298,0.764,0.8525,button,,Xác nhận & Đăng nhập,1,2026-05-26 11:20:08
6,4,search_input,v2,0.55,1.0,0.7286,0.7545,0.764,0.7485,input,,,1,2026-05-26 11:20:11
7,5,filter_iphone_button,v2,0.93,0.8733,0.88,0.7441,0.764,0.8973,button,,Apple iPhone,1,2026-05-26 11:20:44
8,5,filter_iphone_button,v2,0.93,0.7954,0.8376,0.575,0.764,0.8597,button,,AirPods,0,2026-05-26 11:20:44
9,5,filter_iphone_button,v2,0.93,0.715,0.8626,0.7086,0.764,0.8402,button,,Apple iPad,0,2026-05-26 11:20:44
10,5,filter_iphone_button,v2,0.93,0.6785,0.8501,0.642,0.764,0.8246,button,,MacBook,0,2026-05-26 11:20:44
11,5,filter_iphone_button,v2,0.842,0.6562,0.8626,0.6681,0.764,0.7865,button,,Tất cả danh mục,0,2026-05-26 11:20:44
12,5,filter_iphone_button,v2,0.7729,0.7213,0.7035,0.5408,0.764,0.7364,button,,Chỉnh sửa,0,2026-05-26 11:20:44
13,6,filter_ipad_button,v2,0.93,0.8371,0.88,0.7454,0.764,0.8853,button,,Apple iPad,1,2026-05-26 11:21:18
14,6,filter_ipad_button,v2,0.93,0.8273,0.8501,0.639,0.764,0.8737,button,,AirPods,0,2026-05-26 11:21:18
15,6,filter_ipad_button,v2,0.93,0.715,0.8626,0.6947,0.764,0.8402,button,,Apple iPhone,0,2026-05-26 11:21:18
16,6,filter_ipad_button,v2,0.93,0.6891,0.8626,0.7008,0.764,0.8316,button,,MacBook,0,2026-05-26 11:21:18
17,6,filter_ipad_button,v2,0.842,0.66,0.8501,0.6012,0.764,0.7842,button,,Tất cả danh mục,0,2026-05-26 11:21:18
18,6,filter_ipad_button,v2,0.7729,0.6785,0.6874,0.5439,0.764,0.7178,button,,Chỉnh sửa,0,2026-05-26 11:21:18
19,7,filter_macbook_button,v2,0.93,1.0,0.88,0.7414,0.764,0.9391,button,,MacBook,1,2026-05-26 11:21:51
20,7,filter_macbook_button,v2,0.93,0.7286,0.8626,0.6873,0.764,0.8447,button,,AirPods,0,2026-05-26 11:21:51
21,7,filter_macbook_button,v2,0.93,0.7,0.8501,0.6514,0.764,0.8317,button,,Apple iPhone,0,2026-05-26 11:21:51
22,7,filter_macbook_button,v2,0.93,0.6647,0.8626,0.7273,0.764,0.8236,button,,Apple iPad,0,2026-05-26 11:21:51
23,7,filter_macbook_button,v2,0.842,0.6891,0.8376,0.5549,0.764,0.7903,button,,Tất cả danh mục,0,2026-05-26 11:21:51
24,7,filter_macbook_button,v2,0.7467,0.62,0.7957,0.5373,0.764,0.7186,button,,Đăng xuất,0,2026-05-26 11:21:51
25,8,filter_airpods_button,v2,0.93,1.0,0.88,0.7459,0.764,0.9391,button,,AirPods,1,2026-05-26 11:22:26
26,8,filter_airpods_button,v2,0.93,0.7988,0.8501,0.658,0.764,0.8643,button,,Apple iPad,0,2026-05-26 11:22:26
27,8,filter_airpods_button,v2,0.93,0.78,0.8376,0.5736,0.764,0.8546,button,,Apple iPhone,0,2026-05-26 11:22:26
28,8,filter_airpods_button,v2,0.93,0.7286,0.8626,0.723,0.764,0.8447,button,,MacBook,0,2026-05-26 11:22:26
29,8,filter_airpods_button,v2,0.842,0.6545,0.8251,0.5376,0.764,0.7754,button,,Tất cả danh mục,0,2026-05-26 11:22:26
30,8,filter_airpods_button,v2,0.7467,0.62,0.7832,0.5387,0.764,0.7151,button,,Đăng xuất,0,2026-05-26 11:22:26
31,9,filter_Tất cả_button,v2,0.93,0.8371,0.88,0.7229,0.764,0.8853,button,,Tất cả danh mục,1,2026-05-26 11:23:00
32,9,filter_Tất cả_button,v2,0.842,0.6622,0.8626,0.7222,0.764,0.7884,button,,Apple iPhone,0,2026-05-26 11:23:00
33,9,filter_Tất cả_button,v2,0.842,0.6785,0.8376,0.5788,0.764,0.7868,button,,MacBook,0,2026-05-26 11:23:00
34,9,filter_Tất cả_button,v2,0.842,0.6675,0.8501,0.6489,0.764,0.7867,button,,Apple iPad,0,2026-05-26 11:23:00
35,9,filter_Tất cả_button,v2,0.842,0.62,0.8251,0.5433,0.764,0.764,button,,AirPods,0,2026-05-26 11:23:00
36,9,filter_Tất cả_button,v2,0.7467,0.7213,0.7627,0.5404,0.764,0.7428,button,,Đăng xuất,0,2026-05-26 11:23:00
37,10,email_field,v3,0.9916,1.0,0.815,0.7556,0.764,0.9449,input,v3-login-email,,1,2026-05-26 11:23:14
38,10,email_field,v3,0.3983,1.0,0.7182,0.6586,0.764,0.6864,input,v3-login-password,,0,2026-05-26 11:23:14
39,11,password_field,v3,0.9932,1.0,0.815,0.7454,0.764,0.9455,input,v3-login-password,,1,2026-05-26 11:23:15
40,11,password_field,v3,0.3983,0.95,0.7182,0.7321,0.764,0.6699,input,v3-login-email,,0,2026-05-26 11:23:15
41,12,login_button,v3,0.99,1.0,0.62,0.7343,0.764,0.8897,button,v3-btn-login,Đăng nhập,1,2026-05-26 11:23:15
42,13,search_input,v3,0.6723,1.0,0.6986,0.7545,0.764,0.7878,input,v3-prod-search,,1,2026-05-26 11:23:18
43,14,filter_iphone_button,v3,0.9816,1.0,0.7249,0.7471,0.764,0.9158,button,v3-prod-filter-iphone,IPHONE,1,2026-05-26 11:23:51
44,14,filter_iphone_button,v3,0.9695,0.7954,0.7249,0.6148,0.764,0.8436,button,v3-prod-filter-airpods,AIRPODS,0,2026-05-26 11:23:51
45,14,filter_iphone_button,v3,0.9689,0.772,0.7292,0.7255,0.764,0.8368,button,v3-prod-filter-ipad,IPAD,0,2026-05-26 11:23:51
46,14,filter_iphone_button,v3,0.9623,0.6785,0.7249,0.6846,0.764,0.8022,button,v3-prod-filter-macbook,MACBOOK,0,2026-05-26 11:23:51
47,14,filter_iphone_button,v3,0.874,0.62,0.7249,0.7044,0.764,0.7484,button,v3-prod-filter-all,TẤT CẢ,0,2026-05-26 11:23:51
48,14,filter_iphone_button,v3,0.7467,0.6707,0.7707,0.5397,0.764,0.7283,button,,Đăng xuất,0,2026-05-26 11:23:51
49,15,filter_ipad_button,v3,0.9794,1.0,0.7167,0.7457,0.764,0.9126,button,v3-prod-filter-ipad,IPAD,1,2026-05-26 11:24:25
50,15,filter_ipad_button,v3,0.9716,0.8273,0.7124,0.6754,0.764,0.8514,button,v3-prod-filter-airpods,AIRPODS,0,2026-05-26 11:24:25
51,15,filter_ipad_button,v3,0.9689,0.772,0.7124,0.6981,0.764,0.8321,button,v3-prod-filter-iphone,IPHONE,0,2026-05-26 11:24:25
52,15,filter_ipad_button,v3,0.9641,0.6891,0.7124,0.7352,0.764,0.8029,button,v3-prod-filter-macbook,MACBOOK,0,2026-05-26 11:24:25
53,15,filter_ipad_button,v3,0.8802,0.62,0.7124,0.6421,0.764,0.7474,button,v3-prod-filter-all,TẤT CẢ,0,2026-05-26 11:24:25
54,15,filter_ipad_button,v3,0.7863,0.7286,0.6741,0.5433,0.764,0.7358,button,v3-prod-edit-6a157e16a1a3a0064da55ed6,Sửa,0,2026-05-26 11:24:25
55,16,filter_macbook_button,v3,0.9825,1.0,0.6999,0.7443,0.764,0.9091,button,v3-prod-filter-macbook,MACBOOK,1,2026-05-26 11:24:59
56,16,filter_macbook_button,v3,0.965,0.7286,0.6999,0.7229,0.764,0.8128,button,v3-prod-filter-airpods,AIRPODS,0,2026-05-26 11:24:59
57,16,filter_macbook_button,v3,0.9641,0.6891,0.7042,0.7027,0.764,0.8006,button,v3-prod-filter-ipad,IPAD,0,2026-05-26 11:24:59
58,16,filter_macbook_button,v3,0.9623,0.6785,0.6999,0.6478,0.764,0.7952,button,v3-prod-filter-iphone,IPHONE,0,2026-05-26 11:24:59
59,16,filter_macbook_button,v3,0.877,0.6785,0.6999,0.5881,0.764,0.7619,button,v3-prod-filter-all,TẤT CẢ,0,2026-05-26 11:24:59
60,16,filter_macbook_button,v3,0.783,0.696,0.6616,0.5373,0.764,0.7203,button,v3-prod-edit-6a1485bb9d2ea9edeb0b4e09,Sửa,0,2026-05-26 11:24:59
61,17,filter_airpods_button,v3,0.9825,1.0,0.6874,0.742,0.764,0.9056,button,v3-prod-filter-airpods,AIRPODS,1,2026-05-26 11:25:32
