id,step_name,ui_version,original_by,original_value,healed_by,healed_value,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,healing_success,action,healed_at
1,email_field,v2,css selector,"[data-testid=""login-email""]",xpath,//input[@placeholder='name@example.com'],0.7467,1.0,0.8479,0.7524,0.764,0.8308,1,AUTO_FIX,2026-05-26 10:18:57
2,password_field,v2,css selector,"[data-testid=""login-password""]",xpath,//input[@placeholder='••••••••'],0.93,1.0,0.88,0.7396,0.764,0.8845,1,AUTO_FIX,2026-05-26 10:18:57
3,login_button,v2,css selector,"[data-testid=""btn-login""]",id,btn-login,0.93,0.6359,1.0,0.7298,0.764,0.8195,1,AUTO_FIX,2026-05-26 10:18:58
4,search_input,v2,css selector,"[data-testid=""search-input""]",xpath,//input[@placeholder='Gõ tên hàng hoá cần tìm...'],0.55,1.0,0.7286,0.7545,0.764,0.7542,1,AUTO_FIX,2026-05-26 10:19:01
5,filter_iphone_button,v2,css selector,"[data-testid=""btn-filter-iphone""]",xpath,//button[normalize-space(text())='Apple iPhone'],0.93,0.8733,0.88,0.7441,0.764,0.8549,1,AUTO_FIX,2026-05-26 10:19:30
6,filter_ipad_button,v2,css selector,"[data-testid=""btn-filter-ipad""]",xpath,//button[normalize-space(text())='Apple iPad'],0.93,0.8371,0.88,0.7454,0.764,0.8464,1,AUTO_FIX,2026-05-26 10:20:00
7,filter_macbook_button,v2,css selector,"[data-testid=""btn-filter-macbook""]",xpath,//button[normalize-space(text())='MacBook'],0.93,1.0,0.88,0.7414,0.764,0.8848,1,AUTO_FIX,2026-05-26 10:20:30
8,filter_airpods_button,v2,css selector,"[data-testid=""btn-filter-airpods""]",xpath,//button[normalize-space(text())='AirPods'],0.93,1.0,0.88,0.7459,0.764,0.8856,1,AUTO_FIX,2026-05-26 10:20:59
9,filter_Tất cả_button,v2,css selector,"[data-testid=""btn-filter-all""]",xpath,//button[normalize-space(text())='Tất cả danh mục'],0.93,0.8371,0.88,0.7229,0.764,0.8426,1,AUTO_FIX,2026-05-26 10:21:28
10,email_field,v3,css selector,"[data-testid=""login-email""]",xpath,//input[@data-testid='v3-login-email'],0.9916,1.0,0.815,0.7556,0.764,0.8909,1,AUTO_FIX,2026-05-26 10:21:41
11,password_field,v3,css selector,"[data-testid=""login-password""]",xpath,//input[@data-testid='v3-login-password'],0.9932,1.0,0.815,0.7454,0.764,0.8896,1,AUTO_FIX,2026-05-26 10:21:42
12,login_button,v3,css selector,"[data-testid=""btn-login""]",xpath,//button[@data-testid='v3-btn-login'],0.99,1.0,0.62,0.7343,0.764,0.8478,1,AUTO_FIX,2026-05-26 10:21:42
13,search_input,v3,css selector,"[data-testid=""search-input""]",xpath,//input[@data-testid='v3-prod-search'],0.6723,1.0,0.6986,0.7545,0.764,0.7812,1,AUTO_FIX,2026-05-26 10:21:46
14,filter_iphone_button,v3,css selector,"[data-testid=""btn-filter-iphone""]",xpath,//button[@data-testid='v3-prod-filter-iphone'],0.9816,1.0,0.7249,0.7471,0.764,0.8687,1,AUTO_FIX,2026-05-26 10:22:14
15,filter_ipad_button,v3,css selector,"[data-testid=""btn-filter-ipad""]",xpath,//button[@data-testid='v3-prod-filter-ipad'],0.9794,1.0,0.7167,0.7457,0.764,0.8662,1,AUTO_FIX,2026-05-26 10:22:45
16,filter_macbook_button,v3,css selector,"[data-testid=""btn-filter-macbook""]",xpath,//button[@data-testid='v3-prod-filter-macbook'],0.9825,1.0,0.6999,0.7443,0.764,0.8635,1,AUTO_FIX,2026-05-26 10:23:16
17,filter_airpods_button,v3,css selector,"[data-testid=""btn-filter-airpods""]",xpath,//button[@data-testid='v3-prod-filter-airpods'],0.9825,1.0,0.6874,0.742,0.764,0.8606,1,AUTO_FIX,2026-05-26 10:23:47
18,filter_Tất cả_button,v3,css selector,"[data-testid=""btn-filter-all""]",xpath,//button[@data-testid='v3-prod-filter-all'],0.9781,1.0,0.7417,0.7481,0.764,0.8713,1,AUTO_FIX,2026-05-26 10:24:16
19,email_field,v4,css selector,"[data-testid=""login-email""]",xpath,//input[@data-testid='v4-login-email'],0.796,1.0,0.8449,0.668,0.764,0.8291,1,AUTO_FIX,2026-05-26 10:24:29
20,password_field,v4,css selector,"[data-testid=""login-password""]",xpath,//input[@data-testid='v4-login-password'],0.8282,1.0,0.8584,0.6488,0.764,0.8373,1,AUTO_FIX,2026-05-26 10:24:29
21,login_button,v4,css selector,"[data-testid=""btn-login""]",xpath,//button[@data-testid='v4-btn-login'],0.902,1.0,0.9606,0.6102,0.764,0.8711,1,AUTO_FIX,2026-05-26 10:24:30
22,search_input,v4,css selector,"[data-testid=""search-input""]",xpath,//input[@data-testid='v4-search-input'],0.5189,1.0,0.641,0.6328,0.764,0.7076,1,AUTO_FIX,2026-05-26 10:24:33
23,filter_iphone_button,v4,css selector,"[data-testid=""btn-filter-iphone""]",xpath,//button[@data-testid='v4-btn-filter-iphone'],0.7743,1.0,0.7721,0.6579,0.764,0.807,1,AUTO_FIX,2026-05-26 10:25:03
24,filter_ipad_button,v4,css selector,"[data-testid=""btn-filter-ipad""]",xpath,//button[@data-testid='v4-btn-filter-ipad'],0.7736,1.0,0.7596,0.6876,0.764,0.8094,1,AUTO_FIX,2026-05-26 10:25:33
25,filter_macbook_button,v4,css selector,"[data-testid=""btn-filter-macbook""]",xpath,//button[@data-testid='v4-btn-filter-macbook'],0.7746,1.0,0.7596,0.5401,0.764,0.7846,1,AUTO_FIX,2026-05-26 10:26:02
26,filter_airpods_button,v4,css selector,"[data-testid=""btn-filter-airpods""]",xpath,//button[@data-testid='v4-btn-filter-airpods'],0.7746,1.0,0.7721,0.5401,0.764,0.7871,1,AUTO_FIX,2026-05-26 10:26:33
27,filter_Tất cả_button,v4,css selector,"[data-testid=""btn-filter-all""]",xpath,//button[@data-testid='v4-btn-filter-all'],0.7732,1.0,0.7891,0.6236,0.764,0.8043,1,AUTO_FIX,2026-05-26 10:27:02
28,email_field,v5,css selector,"[data-testid=""login-email""]",xpath,//input[@placeholder='name@example.com'],0.93,1.0,0.83,0.6329,0.764,0.8564,1,AUTO_FIX,2026-05-26 10:27:15
29,password_field,v5,css selector,"[data-testid=""login-password""]",xpath,//input[@placeholder='••••••••'],0.93,1.0,0.83,0.5889,0.764,0.8489,1,AUTO_FIX,2026-05-26 10:27:15
30,login_button,v5,css selector,"[data-testid=""btn-login""]",id,btn-login,0.93,1.0,0.9625,0.5788,0.764,0.8737,1,AUTO_FIX,2026-05-26 10:27:16
31,search_input,v5,css selector,"[data-testid=""search-input""]",xpath,//input[@placeholder='Tìm kiếm sản phẩm (Viết đúng chính tả...)'],0.64,1.0,0.7286,0.673,0.764,0.7646,1,AUTO_FIX,2026-05-26 10:27:19
32,filter_iphone_button,v5,css selector,"[data-testid=""btn-filter-iphone""]",xpath,//button[normalize-space(text())='IPHONE'],0.93,1.0,0.88,0.6656,0.764,0.8719,1,AUTO_FIX,2026-05-26 10:27:48
33,filter_ipad_button,v5,css selector,"[data-testid=""btn-filter-ipad""]",xpath,//button[normalize-space(text())='IPAD'],0.93,1.0,0.88,0.6652,0.764,0.8719,1,AUTO_FIX,2026-05-26 10:28:18
34,filter_macbook_button,v5,css selector,"[data-testid=""btn-filter-macbook""]",xpath,//button[normalize-space(text())='MACBOOK'],0.93,1.0,0.88,0.6645,0.764,0.8717,1,AUTO_FIX,2026-05-26 10:28:49
35,filter_airpods_button,v5,css selector,"[data-testid=""btn-filter-airpods""]",xpath,//button[normalize-space(text())='AIRPODS'],0.93,1.0,0.88,0.6638,0.764,0.8716,1,AUTO_FIX,2026-05-26 10:29:18
36,filter_Tất cả_button,v5,css selector,"[data-testid=""btn-filter-all""]",xpath,//button[normalize-space(text())='TẤT CẢ'],0.93,1.0,0.88,0.6662,0.764,0.872,1,AUTO_FIX,2026-05-26 10:29:47
37,email_field,v6,css selector,"[data-testid=""login-email""]",xpath,//input[@data-testid='v6-login-email'],0.2708,1.0,0.7882,0.7524,0.764,0.6903,1,SUGGEST,2026-05-26 10:30:00
38,password_field,v6,css selector,"[data-testid=""login-password""]",xpath,//input[@data-testid='v6-login-password'],0.3832,1.0,0.7612,0.7396,0.764,0.7131,1,AUTO_FIX,2026-05-26 10:30:01
39,login_button,v6,css selector,"[data-testid=""btn-login""]",xpath,//button[@data-testid='v6-btn-login'],0.6925,0.6891,0.931,0.7298,0.764,0.7543,1,AUTO_FIX,2026-05-26 10:30:01
40,search_input,v6,css selector,"[data-testid=""search-input""]",xpath,//input[@data-testid='v6-prod-search'],0.3523,1.0,0.6832,0.7545,0.764,0.6917,1,SUGGEST,2026-05-26 10:30:05
41,filter_iphone_button,v6,css selector,"[data-testid=""btn-filter-iphone""]",xpath,//button[@data-testid='v6-prod-filter-iphone'],0.9016,1.0,0.88,0.7471,0.764,0.8781,1,AUTO_FIX,2026-05-26 10:30:32
42,filter_ipad_button,v6,css selector,"[data-testid=""btn-filter-ipad""]",xpath,//button[@data-testid='v6-prod-filter-ipad'],0.8994,1.0,0.88,0.7457,0.764,0.8773,1,AUTO_FIX,2026-05-26 10:31:02
43,filter_macbook_button,v6,css selector,"[data-testid=""btn-filter-macbook""]",xpath,//button[@data-testid='v6-prod-filter-macbook'],0.9025,1.0,0.88,0.7443,0.764,0.8779,1,AUTO_FIX,2026-05-26 10:31:32
44,filter_airpods_button,v6,css selector,"[data-testid=""btn-filter-airpods""]",xpath,//button[@data-testid='v6-prod-filter-airpods'],0.9025,1.0,0.88,0.742,0.764,0.8775,1,AUTO_FIX,2026-05-26 10:32:01
