id,step_name,ui_version,original_by,original_value,healed_by,healed_value,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,healing_success,action,healed_at
1,email_field,v2,css selector,"[data-testid=""login-email""]",xpath,//input[@placeholder='name@example.com'],0.7467,1.0,0.8479,0.7524,0.764,0.8308,1,AUTO_FIX,2026-05-25 16:22:46
2,password_field,v2,css selector,"[data-testid=""login-password""]",xpath,//input[@placeholder='••••••••'],0.93,1.0,0.88,0.7396,0.764,0.8845,1,AUTO_FIX,2026-05-25 16:22:47
3,login_button,v2,css selector,"[data-testid=""btn-login""]",id,btn-login,0.93,0.6359,1.0,0.7298,0.764,0.8195,1,AUTO_FIX,2026-05-25 16:22:47
4,search_input,v2,css selector,"[data-testid=""search-input""]",xpath,//input[@placeholder='Gõ tên hàng hoá cần tìm...'],0.55,1.0,0.7286,0.7545,0.764,0.7542,1,AUTO_FIX,2026-05-25 16:22:50
5,filter_iphone_button,v2,css selector,"[data-testid=""btn-filter-iphone""]",xpath,//button[normalize-space(text())='Apple iPhone'],0.93,0.8733,0.88,0.7441,0.764,0.8549,1,AUTO_FIX,2026-05-25 16:28:52
6,filter_ipad_button,v2,css selector,"[data-testid=""btn-filter-ipad""]",xpath,//button[normalize-space(text())='Apple iPad'],0.93,0.8371,0.88,0.7454,0.764,0.8464,1,AUTO_FIX,2026-05-25 16:29:24
7,filter_macbook_button,v2,css selector,"[data-testid=""btn-filter-macbook""]",xpath,//button[normalize-space(text())='MacBook'],0.93,1.0,0.88,0.7414,0.764,0.8848,1,AUTO_FIX,2026-05-25 16:29:55
8,filter_airpods_button,v2,css selector,"[data-testid=""btn-filter-airpods""]",xpath,//button[normalize-space(text())='AirPods'],0.93,1.0,0.88,0.7459,0.764,0.8856,1,AUTO_FIX,2026-05-25 16:30:27
9,filter_Tất cả_button,v2,css selector,"[data-testid=""btn-filter-all""]",xpath,//button[normalize-space(text())='Tất cả danh mục'],0.93,0.8371,0.88,0.7229,0.764,0.8426,1,AUTO_FIX,2026-05-25 16:30:58
10,email_field,v3,css selector,"[data-testid=""login-email""]",xpath,//input[@data-testid='v3-login-email'],0.9916,1.0,0.815,0.7556,0.764,0.8909,1,AUTO_FIX,2026-05-25 16:31:15
