id,step_name,ui_version,original_by,original_value,healed_by,healed_value,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,healing_success,action,healed_at,is_correct
1,email_field,v2,css selector,[data-testid="login-email"],xpath,//input[@placeholder='name@example.com'],0.7467,1,0.8479,0.7524,0.365,0.8586,1,AUTO_FIX,5/30/2026 12:23,1
2,password_field,v2,css selector,[data-testid="login-password"],xpath,//input[@placeholder='••••••••'],0.93,1,0.88,0.7396,0.365,0.9391,1,AUTO_FIX,5/30/2026 12:23,1
3,login_button,v2,css selector,[data-testid="btn-login"],id,btn-login,0.93,0.6359,1,0.7298,0.365,0.8525,1,AUTO_FIX,5/30/2026 12:23,1
4,search_input,v2,css selector,[data-testid="search-input"],xpath,//input[@placeholder='Gõ tên hàng hoá c?n tìm...'],0.55,1,0.7286,0.7545,0.615,0.7485,1,AUTO_FIX,5/30/2026 12:23,1
5,filter_iphone_button,v2,css selector,[data-testid="btn-filter-iphone"],xpath,//button[normalize-space(text())='Apple iPhone'],0.93,0.8733,0.88,0.7441,0.365,0.8973,1,AUTO_FIX,5/30/2026 12:24,1
6,filter_ipad_button,v2,css selector,[data-testid="btn-filter-ipad"],xpath,//button[normalize-space(text())='Apple iPad'],0.93,0.8371,0.88,0.7454,0.365,0.8853,1,AUTO_FIX,5/30/2026 12:25,1
7,filter_macbook_button,v2,css selector,[data-testid="btn-filter-macbook"],xpath,//button[normalize-space(text())='MacBook'],0.93,1,0.88,0.7414,0.365,0.9391,1,AUTO_FIX,5/30/2026 12:26,1
8,filter_airpods_button,v2,css selector,[data-testid="btn-filter-airpods"],xpath,//button[normalize-space(text())='AirPods'],0.93,1,0.88,0.7459,0.365,0.9391,1,AUTO_FIX,5/30/2026 12:26,1
9,filter_T?t c?_button,v2,css selector,[data-testid="btn-filter-all"],xpath,//button[normalize-space(text())='T?t c? danh m?c'],0.93,0.8371,0.88,0.7229,0.615,0.8853,1,AUTO_FIX,5/30/2026 12:27,1
10,email_field,v3,css selector,[data-testid="login-email"],xpath,//input[@data-testid='v3-login-email'],0.9916,1,0.815,0.7556,0.615,0.9449,1,AUTO_FIX,5/30/2026 12:27,1
11,password_field,v3,css selector,[data-testid="login-password"],xpath,//input[@data-testid='v3-login-password'],0.9932,1,0.815,0.7454,0.615,0.9455,1,AUTO_FIX,5/30/2026 12:27,1
12,login_button,v3,css selector,[data-testid="btn-login"],xpath,//button[@data-testid='v3-btn-login'],0.99,1,0.62,0.7343,0.615,0.8897,1,AUTO_FIX,5/30/2026 12:27,1
