id,healing_event_id,step_name,ui_version,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,cand_tag,cand_testid,cand_text,is_correct,recorded_at
1,1,email_field,v2,0.7467,1.0,0.8479,0.7524,0.764,0.8308,input,,,1,2026-05-23 22:39:06
2,1,email_field,v2,0.3633,1.0,0.7832,0.6526,0.764,0.6974,input,,,0,2026-05-23 22:39:06
3,2,password_field,v2,0.93,1.0,0.88,0.7396,0.764,0.8845,input,,,1,2026-05-23 22:39:06
4,2,password_field,v2,0.5467,0.95,0.8086,0.7356,0.764,0.7541,input,,,0,2026-05-23 22:39:06
5,3,login_button,v2,0.93,0.6359,1.0,0.7298,0.764,0.8195,button,,Xác nhận & Đăng nhập,1,2026-05-23 22:39:07
6,4,add_product_button,v2,0.93,0.8652,0.88,0.7611,0.764,0.8558,a,,Tạo sản phẩm,1,2026-05-23 22:39:27
7,4,add_product_button,v2,0.765,0.7624,0.6715,0.5433,0.764,0.7079,a,,Chi tiết sản phẩm,0,2026-05-23 22:39:27
8,4,add_product_button,v2,0.765,0.7624,0.6715,0.5433,0.764,0.7079,a,,Chi tiết sản phẩm,0,2026-05-23 22:39:27
9,4,add_product_button,v2,0.765,0.7624,0.6715,0.5433,0.764,0.7079,a,,Chi tiết sản phẩm,0,2026-05-23 22:39:27
10,4,add_product_button,v2,0.765,0.7624,0.6715,0.5433,0.764,0.7079,a,,Chi tiết sản phẩm,0,2026-05-23 22:39:27
11,4,add_product_button,v2,0.765,0.7624,0.6715,0.5433,0.764,0.7079,a,,Chi tiết sản phẩm,0,2026-05-23 22:39:27
12,5,product_name_field,v2,0.93,1.0,0.88,0.747,0.764,0.8858,input,,,1,2026-05-23 22:39:44
13,5,product_name_field,v2,0.69,1.0,0.8459,0.647,0.764,0.7972,input,,,0,2026-05-23 22:39:44
14,5,product_name_field,v2,0.69,1.0,0.8252,0.5401,0.764,0.7748,input,,,0,2026-05-23 22:39:44
15,5,product_name_field,v2,0.69,1.0,0.8283,0.5285,0.764,0.7735,input,,,0,2026-05-23 22:39:44
16,5,product_name_field,v2,0.69,1.0,0.8283,0.5285,0.764,0.7735,input,,,0,2026-05-23 22:39:44
17,5,product_name_field,v2,0.59,1.0,0.8455,0.5047,0.764,0.7459,input,,,0,2026-05-23 22:39:44
18,6,product_price_field,v2,0.93,1.0,0.88,0.7399,0.764,0.8846,input,,,1,2026-05-23 22:39:46
19,6,product_price_field,v2,0.69,1.0,0.8311,0.5096,0.764,0.7708,input,,,0,2026-05-23 22:39:46
20,6,product_price_field,v2,0.59,1.0,0.8236,0.5418,0.764,0.7478,input,,,0,2026-05-23 22:39:46
21,6,product_price_field,v2,0.59,1.0,0.8096,0.5215,0.764,0.7416,input,,,0,2026-05-23 22:39:46
22,6,product_price_field,v2,0.59,1.0,0.8096,0.5215,0.764,0.7416,input,,,0,2026-05-23 22:39:46
23,6,product_price_field,v2,0.59,1.0,0.8096,0.5096,0.764,0.7395,input,,,0,2026-05-23 22:39:46
24,7,submit_product_button,v2,0.93,0.6533,0.88,0.6203,0.764,0.781,button,,XÁC NHẬN ĐĂNG SẢN PHẨM,1,2026-05-23 22:39:48
25,7,submit_product_button,v2,0.6375,0.7286,0.5812,0.6059,0.764,0.6579,button,,+ Thêm màu sắc mới,0,2026-05-23 22:39:48
26,7,submit_product_button,v2,0.6375,0.7312,0.5812,0.4979,0.764,0.6402,button,,+ Thêm phiên bản lưu trữ,0,2026-05-23 22:39:48
27,7,submit_product_button,v2,0.7375,0.7662,0.617,0.4099,0.484,0.6342,button,,Đăng xuất,0,2026-05-23 22:39:48
