id,healing_event_id,step_name,ui_version,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,cand_tag,cand_testid,cand_text,is_correct,recorded_at
1,1,email_field,v2,0.7467,1.0,0.8479,0.7524,0.764,0.8586,input,,,1,2026-05-24 06:58:00
2,1,email_field,v2,0.3633,1.0,0.7832,0.6526,0.764,0.691,input,,,0,2026-05-24 06:58:00
3,2,password_field,v2,0.93,1.0,0.88,0.7396,0.764,0.9391,input,,,1,2026-05-24 06:58:00
4,2,password_field,v2,0.5467,0.95,0.8086,0.7356,0.764,0.7531,input,,,0,2026-05-24 06:58:00
5,3,login_button,v2,0.93,0.6359,1.0,0.7298,0.764,0.8525,button,,Xác nhận & Đăng nhập,1,2026-05-24 06:58:01
6,4,add_product_button,v2,0.93,0.8652,0.88,0.7611,0.764,0.8946,a,,Tạo sản phẩm,1,2026-05-24 06:58:25
7,4,add_product_button,v2,0.765,0.7624,0.6715,0.5433,0.764,0.738,a,,Chi tiết sản phẩm,0,2026-05-24 06:58:25
8,4,add_product_button,v2,0.765,0.7624,0.6715,0.5433,0.764,0.738,a,,Chi tiết sản phẩm,0,2026-05-24 06:58:25
9,4,add_product_button,v2,0.765,0.7624,0.6715,0.5433,0.764,0.738,a,,Chi tiết sản phẩm,0,2026-05-24 06:58:25
10,4,add_product_button,v2,0.765,0.7624,0.6715,0.5433,0.764,0.738,a,,Chi tiết sản phẩm,0,2026-05-24 06:58:25
11,4,add_product_button,v2,0.765,0.7598,0.6731,0.5433,0.764,0.7376,a,,Chi tiết sản phẩm,0,2026-05-24 06:58:25
12,5,product_name_field,v2,0.93,1.0,0.88,0.747,0.764,0.9391,input,,,1,2026-05-24 06:58:43
13,5,product_name_field,v2,0.69,1.0,0.8459,0.647,0.764,0.836,input,,,0,2026-05-24 06:58:43
14,5,product_name_field,v2,0.69,1.0,0.8283,0.5285,0.764,0.831,input,,,0,2026-05-24 06:58:43
15,5,product_name_field,v2,0.69,1.0,0.8283,0.5285,0.764,0.831,input,,,0,2026-05-24 06:58:43
16,5,product_name_field,v2,0.69,1.0,0.8252,0.5401,0.764,0.8302,input,,,0,2026-05-24 06:58:43
17,5,product_name_field,v2,0.59,1.0,0.8455,0.5047,0.764,0.7968,input,,,0,2026-05-24 06:58:43
18,6,product_price_field,v2,0.93,1.0,0.88,0.7399,0.764,0.9391,input,,,1,2026-05-24 06:58:45
19,6,product_price_field,v2,0.69,1.0,0.8311,0.5096,0.764,0.8318,input,,,0,2026-05-24 06:58:45
20,6,product_price_field,v2,0.59,1.0,0.8236,0.5418,0.764,0.7907,input,,,0,2026-05-24 06:58:45
21,6,product_price_field,v2,0.59,1.0,0.8096,0.5215,0.764,0.7868,input,,,0,2026-05-24 06:58:45
