id,step_name,ui_version,original_by,original_value,healed_by,healed_value,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,healing_success,action,healed_at
1,email_field,v2,css selector,"[data-testid=""login-email""]",xpath,//input[@placeholder='name@example.com'],0.7467,1.0,0.8479,0.7524,0.764,0.8308,1,AUTO_FIX,2026-05-24 00:03:11
2,password_field,v2,css selector,"[data-testid=""login-password""]",xpath,//input[@placeholder='••••••••'],0.93,1.0,0.88,0.7396,0.764,0.8845,1,AUTO_FIX,2026-05-24 00:03:12
3,login_button,v2,css selector,"[data-testid=""btn-login""]",id,btn-login,0.93,0.6359,1.0,0.7298,0.764,0.8195,1,AUTO_FIX,2026-05-24 00:03:13
4,add_product_button,v2,css selector,"[data-testid=""btn-add-product""]",xpath,//a[normalize-space(text())='Tạo sản phẩm'],0.93,0.8652,0.88,0.7611,0.764,0.8558,1,AUTO_FIX,2026-05-24 00:03:47
5,product_name_field,v2,css selector,"[data-testid=""product-name""]",name,name,0.93,1.0,0.88,0.747,0.764,0.8858,1,AUTO_FIX,2026-05-24 00:04:06
6,product_price_field,v2,css selector,"[data-testid=""product-price""]",name,pr,0.93,1.0,0.88,0.7399,0.764,0.8846,1,AUTO_FIX,2026-05-24 00:04:08
7,submit_product_button,v2,css selector,"[data-testid=""btn-add-product""]",xpath,//button[normalize-space(text())='XÁC NHẬN ĐĂNG SẢN PHẨM'],0.93,0.6533,0.88,0.6203,0.764,0.781,1,AUTO_FIX,2026-05-24 00:04:12
8,email_field,v3,css selector,"[data-testid=""login-email""]",xpath,//input[@data-testid='v3-login-email'],0.9916,1.0,0.815,0.7556,0.764,0.8909,1,AUTO_FIX,2026-05-24 00:04:42
9,password_field,v3,css selector,"[data-testid=""login-password""]",xpath,//input[@data-testid='v3-login-password'],0.9932,1.0,0.815,0.7454,0.764,0.8896,1,AUTO_FIX,2026-05-24 00:04:43
10,login_button,v3,css selector,"[data-testid=""btn-login""]",xpath,//button[@data-testid='v3-btn-login'],0.99,1.0,0.62,0.7343,0.764,0.8478,1,AUTO_FIX,2026-05-24 00:04:44
11,add_product_button,v3,css selector,"[data-testid=""btn-add-product""]",xpath,//a[@data-testid='v3-prod-btn-add'],0.9627,1.0,0.8406,0.7632,0.764,0.8895,1,AUTO_FIX,2026-05-24 00:05:18
12,product_name_field,v3,css selector,"[data-testid=""product-name""]",xpath,//input[@data-testid='v3-ap-name'],0.9682,1.0,0.8496,0.747,0.764,0.89,1,AUTO_FIX,2026-05-24 00:05:37
13,product_price_field,v3,css selector,"[data-testid=""product-price""]",xpath,//input[@data-testid='v3-ap-price'],0.9708,1.0,0.8496,0.7399,0.764,0.8895,1,AUTO_FIX,2026-05-24 00:05:39
14,submit_product_button,v3,css selector,"[data-testid=""btn-add-product""]",xpath,//button[@data-testid='v3-ap-submit'],0.9559,1.0,0.6037,0.6203,0.764,0.816,1,AUTO_FIX,2026-05-24 00:05:41
15,email_field,v4,css selector,"[data-testid=""login-email""]",xpath,//input[@data-testid='v4-login-email'],0.796,1.0,0.8449,0.668,0.764,0.8291,1,AUTO_FIX,2026-05-24 00:06:11
16,password_field,v4,css selector,"[data-testid=""login-password""]",xpath,//input[@data-testid='v4-login-password'],0.8282,1.0,0.8584,0.6488,0.764,0.8373,1,AUTO_FIX,2026-05-24 00:06:12
17,login_button,v4,css selector,"[data-testid=""btn-login""]",xpath,//button[@data-testid='v4-btn-login'],0.902,1.0,0.9606,0.6102,0.764,0.8711,1,AUTO_FIX,2026-05-24 00:06:12
