id,step_name,ui_version,tag,el_id,classes,name_attr,input_type,placeholder,aria_label,data_testid,text_content,role_attr,href,xpath_abs,parent_tag,parent_id,depth,sibling_index,siblings_count,bounding_w,bounding_h,bounding_x,bounding_y,page_url,form_context,nearby_label,captured_at
7,add_product_button,v1,a,,"[""btn"", ""btn-success"", ""rounded-pill"", ""px-4"", ""shadow""]",,,,,btn-add-product,+ Thêm sản phẩm mới,,http://localhost:5173/admin/add-product,"//div[@id=""root""]/div[1]/div[1]/a[1]",div,,5,0,1,209.0,38.0,564.0,142.0,http://localhost:5173/product,,,2026-05-24T05:37:31.318972
14,product_name_field,v1,input,,"[""form-control""]",name,text,Ví dụ: iPhone 16 Pro Max,,product-name,,,,"//div[@id=""root""]/div[1]/form[1]/section[1]/div[1]/div[1]/input[1]",div,,8,1,2,526.0,38.0,134.0,263.0,http://localhost:5173/admin/add-product,card p-4 shadow-lg border-0 bg-light,,2026-05-24T05:38:02.891877
20,product_price_field,v1,input,,"[""form-control""]",pr,number,,,product-price,,,,"//div[@id=""root""]/div[1]/form[1]/section[1]/div[1]/div[3]/input[1]",div,,8,1,2,255.0,38.0,947.0,263.0,http://localhost:5173/admin/add-product,card p-4 shadow-lg border-0 bg-light,,2026-05-24T05:38:19.049177
21,submit_product_button,v1,button,,"[""btn"", ""btn-dark"", ""btn-lg"", ""w-100"", ""rounded-pill"", ""shadow""]",,submit,,,btn-add-product,ĐĂNG BÁN SẢN PHẨM,,,"//div[@id=""root""]/div[1]/form[1]/button[1]",form,,5,5,6,1068.0,48.0,134.0,1018.0,http://localhost:5173/admin/add-product,card p-4 shadow-lg border-0 bg-light,,2026-05-24T05:38:19.346090
43,register_email_field,v1,input,register-email,"[""form-control""]",,email,name@example.com,,register-email,,,,"//input[@id=""register-email""]",div,,8,1,2,350.0,38.0,501.0,218.0,http://localhost:5173/register,form,,2026-05-24T05:51:30.590014
44,register_password_field,v1,input,register-password,"[""form-control""]",,password,••••••••,,register-password,,,,"//input[@id=""register-password""]",div,,8,1,2,350.0,38.0,501.0,303.0,http://localhost:5173/register,form,,2026-05-24T05:51:30.852128
45,register_button,v1,button,,"[""btn"", ""btn-success"", ""w-100"", ""py-2"", ""fw-bold"", ""mt-2""]",,submit,,,btn-register,Đăng ký,,,"//div[@id=""root""]/div[1]/div[1]/div[1]/form[1]/button[1]",form,,7,2,3,350.0,42.0,501.0,364.0,http://localhost:5173/register,form,,2026-05-24T05:51:31.141302
116,contact_name_field,v1,input,contact-name,"[""form-control""]",,text,Nhập họ và tên của bạn,,contact-name,,,,"//input[@id=""contact-name""]",div,,8,1,2,520.0,38.0,416.0,223.0,http://localhost:5173/contact,form,,2026-05-24T05:59:10.637037
117,contact_phone_field,v1,input,contact-phone,"[""form-control""]",,text,Nhập số điện thoại (10 chữ số),,contact-phone,,,,"//input[@id=""contact-phone""]",div,,8,1,2,520.0,38.0,416.0,309.0,http://localhost:5173/contact,form,,2026-05-24T05:59:10.886896
118,contact_mess_field,v1,input,contact-mess,"[""form-control""]",,text,Nhập lời nhắn của bạn (tối đa 500 ký tự),,contact-mess,,,,"//input[@id=""contact-mess""]",div,,8,1,2,520.0,38.0,416.0,394.0,http://localhost:5173/contact,form,,2026-05-24T05:59:11.177307
